city_ids,Number_of_session
6497,127648
6433,94008
6918,50427
6640,39570
6326,37018
6220,26385
6857,9838
6931,9599
6969,9237
6985,7755
6672,7117
6956,6916
6814,6836
6800,6555
6984,6185
6288,5590
6541,5309
6926,4926
6745,4143
6864,4104
6861,3972
6264,3330
6785,3047
6782,3025
6816,2970
6713,2924
6870,2810
6684,2566
6341,2359
6801,2358
6668,2327
6557,2118
6865,1945
6987,1918
6390,1913
6839,1777
6986,1468
6447,1352
6566,1285
6858,1273
6208,1219
6595,1182
6875,1174
6760,1150
6906,1147
6604,1127
6570,961
6873,949
6819,928
6815,863
6876,861
6842,793
6549,730
6834,716
6681,714
6930,688
6871,673
6503,668
6862,651
6980,579
6805,573
6349,562
7307,547
6209,533
6469,516
6719,516
7003,510
6352,475
6683,428
7080,425
6269,422
6262,401
6908,389
7002,385
7019,376
7015,364
7115,352
6567,339
7001,338
6303,336
6997,336
6289,330
6234,315
7367,302
6817,285
7116,259
6260,251
6363,245
7121,237
6711,206
7349,203
6319,197
6998,191
7303,186
6321,184
6548,182
7313,179
6545,170
7083,162
7192,161
7262,161
6216,156
7079,153
6723,146
7022,145
6452,144
6841,144
7000,130
6535,127
7310,125
6965,123
6967,123
7155,121
7117,119
7335,115
7309,113
6224,112
6565,110
7394,107
6988,103
7323,102
6996,98
6642,95
6225,94
6995,94
6460,92
7108,87
7257,86
7329,86
7326,85
6653,83
7327,83
7014,82
7113,82
7255,61
7110,60
6927,58
6641,56
6237,53
7398,52
6971,51
6646,49
7422,49
7159,44
7312,44
7334,43
7156,40
7318,40
7428,38
6336,33
7344,31
7299,28
7264,24
6767,21
7427,21
7106,18
7322,15
7336,15
7384,14
7120,11
7423,10
7020,9
7084,9
7105,9
7308,9
7316,9
7343,9
7306,8
7342,8
7426,8
7346,7
7107,6
7118,4
7321,4
6670,3
7081,3
7319,3
6360,2
6860,2
6867,2
7077,2
7328,2
7365,2
7377,2
6632,1
6644,1
6994,1
7021,1
7112,1
7114,1
7259,1
7304,1
7317,1
7352,1
7374,1
7379,1
7390,1
7393,1
7396,1
7425,1
